feature,mutual_information,selected
OG0000611,0.17980970478995406,True
OG0004271,0.1734219609511456,True
OG0003825,0.16308442151498248,True
OG0000668,0.16122172913460986,True
OG0004056,0.15268619632931735,True
OG0004035,0.15026212125139793,True
OG0003846,0.13871559624815344,True
OG0003460,0.13747612826435107,True
OG0004310,0.13439034070837108,True
OG0003752,0.13437030730507793,True
OG0000470,0.13436176124959243,True
OG0004167,0.13364042789054054,True
OG0001717,0.13322491652380997,True
OG0003766,0.13178098199818766,True
OG0000747,0.13028031545885188,True
OG0003871,0.12848143869594164,True
OG0003673,0.1281392992732142,True
OG0003886,0.1257386024414977,True
OG0004272,0.12495343911446533,True
OG0004232,0.12486110572361309,True
OG0003944,0.12477038306986454,True
OG0003737,0.12314150077448449,True
OG0004014,0.12204695964907009,True
OG0004057,0.1215181365198017,True
OG0003367,0.12080629641916207,True
OG0004263,0.12016230668578487,True
OG0004118,0.11876045172116712,True
OG0000520,0.11813114194284413,True
OG0000440,0.11806933374013173,True
OG0000927,0.11797187990210922,True
OG0001402,0.11773103710409227,True
OG0003956,0.11703349953290854,True
OG0003652,0.11694894268878375,True
OG0003962,0.11675231189913937,True
OG0004369,0.11646422240462151,True
OG0003850,0.11621662365429142,True
OG0000717,0.11620211018298576,True
OG0003849,0.11546816787146863,True
OG0004290,0.11508490175371655,True
OG0004253,0.11449640503107794,True
OG0003905,0.11442065427187131,True
OG0003875,0.11439911829021909,True
OG0003883,0.11412074687888119,True
OG0004296,0.1136745704702351,True
OG0003610,0.11137808617292144,True
OG0003694,0.11101337370975983,True
OG0003882,0.11095215919521184,True
OG0004165,0.11092978958422695,True
OG0003809,0.11087550859210094,True
OG0000931,0.11070120603184463,True
OG0003992,0.11044219457642601,True
OG0004157,0.11035479587582575,True
OG0003925,0.1102556870084781,True
OG0000244,0.10980596424363842,True
OG0000694,0.10970008109372831,True
OG0003884,0.1094066477540796,True
OG0000176,0.10894224635218208,True
OG0004215,0.10891430240634481,True
OG0003741,0.10860098885731073,True
OG0000094,0.10692372903595349,True
OG0003597,0.10649617129052569,True
OG0000633,0.10624627533448727,True
OG0003805,0.10591504197970547,True
OG0004051,0.10570094762169635,True
OG0000772,0.10534292941047685,True
OG0003948,0.10514453905293486,True
OG0003953,0.10430931414670841,True
OG0003931,0.10417198420662555,True
OG0000031,0.10373843042217779,True
OG0003797,0.1033609277908143,True
OG0003584,0.10313811269467443,True
OG0003857,0.10289372442823908,True
OG0003920,0.10272124104797697,True
OG0003211,0.10202397760016702,True
OG0003424,0.10193206962080303,True
OG0000161,0.10162987755390596,True
OG0004315,0.10140985605999209,True
OG0003816,0.10107544834989302,True
OG0004535,0.10094368483936123,True
OG0003897,0.1008831744265235,True
OG0004089,0.10045652423526352,True
OG0004063,0.10022947696558848,True
OG0004101,0.0998929500802852,True
OG0004070,0.09977459086655305,True
OG0003221,0.09960384612916595,True
OG0003450,0.09892736569191829,True
OG0000378,0.09892124587419815,True
OG0004008,0.0981371229978496,True
OG0003878,0.09799704243625307,True
OG0000637,0.09792153271780268,True
OG0004289,0.0977428121099937,True
OG0000524,0.09769915129809803,True
OG0003914,0.0976710057907697,True
OG0003746,0.09752497721643127,True
OG0003190,0.09707621666973232,True
OG0003663,0.0969798926939438,True
OG0000824,0.09662636120483725,True
OG0000779,0.09658249774432814,True
OG0000477,0.09639299548686431,True
OG0003915,0.09627906454398616,True
OG0003512,0.09605079080926338,True
OG0004005,0.09595401961373895,True
OG0001005,0.09591935432851617,True
OG0003654,0.09574163891698362,True
OG0004228,0.09554997516906472,True
OG0003854,0.09539399259382897,True
OG0003775,0.095330867336747,True
OG0004059,0.0952555802676951,True
OG0003867,0.0951641251337696,True
OG0004029,0.09496217667723883,True
OG0004098,0.09490353081831682,True
OG0001305,0.09466175087564199,True
OG0004012,0.09465214771912933,True
OG0000119,0.09464373678554239,True
OG0003838,0.09446208435796333,True
OG0003577,0.09442156897062493,True
OG0003866,0.0941978051168455,True
OG0004044,0.09419323413505865,True
OG0001877,0.09409326753167502,True
OG0003981,0.0937843663511293,True
OG0003574,0.09368091337959594,True
OG0003964,0.09317058928884236,True
OG0003859,0.0930408206276061,True
OG0003842,0.09280986988265116,True
OG0004159,0.09250377732287607,True
OG0002180,0.09235818517957739,True
OG0004148,0.09226954518481723,True
OG0004336,0.09201635442488998,True
OG0003656,0.0920071433129479,True
OG0000476,0.09190852040113562,True
OG0000832,0.09139908616152148,True
OG0004003,0.09137116961926672,True
OG0002999,0.09136648995661467,True
OG0003755,0.09122474496269106,True
OG0004196,0.09121886177595329,True
OG0003813,0.09111200037754852,True
OG0004082,0.09072239684699479,True
OG0003834,0.09062395788915811,True
OG0000056,0.0905728595842259,True
OG0003853,0.09053511947209358,True
OG0003730,0.09036274860729243,True
OG0004408,0.09005171697772507,True
OG0003890,0.09000338715044176,True
OG0003928,0.08991900107857376,True
OG0000405,0.08939287872504043,True
OG0000146,0.08938962287078667,True
OG0004075,0.08913671742809193,True
OG0004132,0.08905104589541768,True
OG0003780,0.08839587921884995,True
OG0004176,0.08831562754118583,True
OG0004466,0.08830959014522399,True
OG0000466,0.08828068607020079,True
OG0000202,0.08823906281244476,True
OG0004491,0.08806326459857683,True
OG0000838,0.08802010983217512,True
OG0002588,0.08799546972208283,True
OG0002775,0.08791856051153601,True
OG0000514,0.08789240524694364,True
OG0004161,0.08786069226719029,True
OG0004241,0.08767803647000338,True
OG0005444,0.08764578771230935,True
OG0004451,0.0876112223227059,True
OG0003199,0.08702064582034286,True
OG0004223,0.08678623514006656,True
OG0000714,0.08657293790518228,True
OG0003323,0.08620210032535969,True
OG0003167,0.08618408533901878,True
OG0002368,0.08615416263648346,True
OG0004373,0.08604032858638977,True
OG0000406,0.08584665302567096,True
OG0001769,0.08583904220030636,True
OG0003595,0.08576557396014017,True
OG0004015,0.08548156962379938,True
OG0006340,0.08522637078126127,True
OG0000624,0.0850854836758197,True
OG0003793,0.08501905662995046,True
OG0003165,0.08416357422330378,True
OG0002887,0.08415599695067488,True
OG0001013,0.08415146450585365,True
OG0000334,0.08404324951812914,True
OG0004700,0.08389917665208468,True
OG0003636,0.08382993865639943,True
OG0000573,0.08369745811597218,True
OG0001947,0.08363472285064599,True
OG0000132,0.0833523443801889,True
OG0002336,0.0833518903469086,True
OG0000489,0.08277631979597988,True
OG0000077,0.08273767374621244,True
OG0003354,0.08258362480195114,True
OG0003820,0.08248308411696303,True
OG0000325,0.08227279339347682,True
OG0004880,0.08204248866543695,True
OG0004042,0.08189168570199179,True
OG0003124,0.08180284435842289,True
OG0004357,0.08179344173332836,True
OG0004026,0.08178711302257025,True
OG0003771,0.08175792894999656,True
OG0000802,0.08165880275274606,True
OG0000247,0.08134611143449177,True
OG0001534,0.08125503895696085,True
OG0001469,0.08108774832637522,True
OG0003841,0.0810714034731399,True
OG0003329,0.08100664598618579,True
OG0001447,0.08082288032838036,True
OG0001021,0.08062928984445783,True
OG0002319,0.08049710270403754,True
OG0005329,0.08036219552974577,True
OG0000008,0.08014295293088392,True
OG0003105,0.07994989075547299,True
OG0002071,0.07985402667178398,True
OG0004285,0.07979120969941267,True
OG0005384,0.07974370387281748,True
OG0001241,0.07965496964995555,True
OG0004115,0.07961620032416494,True
OG0000920,0.0795792465190317,True
OG0004150,0.0792750493138703,True
OG0000012,0.07921795805346843,True
OG0003803,0.07902480156538161,True
OG0004190,0.07898251589962246,True
OG0004117,0.07890340699805787,True
OG0004632,0.07854088041002472,True
OG0003304,0.07841559003705179,True
OG0000445,0.07841004595124801,True
OG0003335,0.07824261125360366,True
OG0004239,0.0782022891019265,True
OG0003881,0.07801711578960013,True
OG0000683,0.0780153179905767,True
OG0005685,0.0776794184715075,True
OG0003122,0.07759787610080338,True
OG0001219,0.07748684938335604,True
OG0003845,0.0774697887994602,True
OG0001914,0.07731286580625696,True
OG0004050,0.0773108603904733,True
OG0000602,0.07712200094537724,True
OG0000560,0.07692573971236971,True
OG0000416,0.07686354911622484,True
OG0003872,0.0768455299269899,True
OG0005935,0.07668596432150743,True
OG0003373,0.07654194349459598,True
OG0004269,0.07640506932903257,True
OG0004307,0.07626223795550402,True
OG0004302,0.07624551629938026,True
OG0002576,0.07596207087355289,True
OG0005293,0.07579824224453047,True
OG0003923,0.0756346597391202,True
