Feature,Mean_Signed,Std_MeanAcrossFolds,Impact_Magnitude,Impact_Direction,Fold_Level_Impact,Sample_Level_Impact
OG0003193,0.0008184267,0.02493093,0.0008184267,Positive,0.01762884482741356,0.10207982361316681
OG0014147,0.0,0.0,0.0,Neutral,0.0,0.0
OG0004506,-0.016225703,0.023217183,0.016225703,Negative,0.016417019069194794,0.0662415400147438
OG0002286,-0.007742761,0.024025345,0.007742761,Negative,0.016988486051559448,0.07706223428249359
OG0003107,0.0029497803,0.015851364,0.0029497803,Positive,0.011208632960915565,0.1224396824836731
OG0017423,0.0,0.0,0.0,Neutral,0.0,0.0
OG0000982,-0.014883169,0.017599944,0.014883169,Negative,0.014883173629641533,0.11547814309597015
OG0025179,0.0,0.0,0.0,Neutral,0.0,0.0
OG0008763,0.0,0.0,0.0,Neutral,0.0,0.0
OG0005668,0.0,0.0,0.0,Neutral,0.0,0.0
OG0000242,-0.002157426,0.008271121,0.002157426,Negative,0.0058485642075538635,0.050026796758174896
OG0004391,-0.01726357,0.020566717,0.01726357,Negative,0.017263567075133324,0.04769337549805641
OG0014592,0.0,0.0,0.0,Neutral,0.0,0.0
OG0004087,-0.0055580195,0.010167789,0.0055580195,Negative,0.007189708296209574,0.04173082113265991
OG0029048,0.0,0.0,0.0,Neutral,0.0,0.0
OG0001801,0.00733863,0.0067460695,0.00733863,Positive,0.007338636089116335,0.06243395060300827
OG0041243,0.0,0.0,0.0,Neutral,0.0,0.0
OG0000637,-0.0016782392,0.0074768537,0.0016782392,Negative,0.005286926869302988,0.023515325039625168
OG0003149,-0.002206779,0.0043913834,0.002206779,Negative,0.0031051794067025185,0.09299511462450027
OG0004644,0.002816404,0.0039829966,0.002816404,Positive,0.0028164030518382788,0.01655065454542637
OG0004228,-0.035266563,0.049874455,0.035266563,Negative,0.03526657819747925,0.12269585579633713
OG0004030,-0.014865783,0.021057887,0.014865783,Negative,0.014890182763338089,0.040035467594861984
OG0003317,-0.0057173753,0.015396585,0.0057173753,Negative,0.010887032374739647,0.05555260181427002
OG0003909,-0.0020265142,0.0020928427,0.0020265142,Negative,0.0020265120547264814,0.03077540546655655
OG0003847,0.011130484,0.007769547,0.011130484,Positive,0.01113048568367958,0.04706865921616554
OG0028384,0.0,0.0,0.0,Neutral,0.0,0.0
